Symbol,Name
AAPL,AppleInc.
ABBV,AbbVieInc.
ABT,AbbottLaboratories
ACN,Accenture
AGN,Allergan
AIG,AmericanInternationalGroup
ALL,Allstate
AMGN,Amgen
AMZN,Amazon.com
AXP,AmericanExpress
BA,Boeing
BAC,BankofAmerica
BIIB,BiogenIdec
BK,TheBankofNewYorkMellon
BLK,BlackRock
BMY,Bristol-MyersSquibb
BRK-B,BerkshireHathaway
C,Citigroup
CAT,CaterpillarInc
CELG,Celgene
CHTR,CharterCommunications
CL,Colgate-Palmolive
CMCSA,Comcast
COF,Capitalone
COP,ConocoPhillips
COST,Costco
CSCO,CiscoSystems
CVS,CVSHealth
CVX,Chevron(company)
DHR,DanaherCorporation
DIS,TheWaltDisneyCompany
DUK,DukeEnergy
DWDP,DowDuPont
EMR,EmersonElectric
EXC,Exelon
F,FordMotor
FB,Facebook
FDX,FedEx
FOX,21stCenturyFox
FOXA,21stCenturyFox
GD,GeneralDynamics
GE,GeneralElectric
GILD,GileadSciences
GM,GeneralMotors
GOOG,AlphabetInc
GOOGL,AlphabetInc
GS,GoldmanSachs
HAL,Halliburton
HD,HomeDepot
HON,Honeywell
IBM,IBM
INTC,Intel
JNJ,Johnson&amp;Johnson
JPM,JPMorganChase&amp;Co
KHC,KraftHeinz
KMI,KinderMorgan
KO,TheCoca-ColaCompany
LLY,EliLillyandCompany
LMT,Lockheed-Martin
LOW,Lowe's
MA,MasterCard
MCD,McDonald's
MDLZ,MondelÄ“zInternational
MDT,Medtronic
MET,Metlife
MMM,3M
MO,Altria
MON,Monsanto
MRK,Merck&amp;Co.
MS,MorganStanley
MSFT,Microsoft
NEE,NextEraEnergy
NKE,Nike(company)
ORCL,OracleCorporation
OXY,OccidentalPetroleum
PCLN,PricelineGroup
PEP,Pepsico
PFE,PfizerInc
PG,Procter&amp;Gamble
PM,PhillipMorrisInternational
PYPL,PayPal
QCOM,Qualcomm
RTN,Raytheon
SBUX,Starbucks
SLB,Schlumberger
SO,SouthernCompany
SPG,SimonPropertyGroup
T,AT&amp;T
TGT,TargetCorporation
TWX,TimeWarner
TXN,TexasInstruments
UNH,UnitedHealthGroup
UNP,UnionPacific
UPS,UnitedParcelService
USB,U.S.Bancorp
UTX,UnitedTechnologiesCorporation
V,VisaInc.
VZ,VerizonCommunications
WBA,WalgreensBootsAlliance
WFC,WellsFargo
WMT,Wal-Mart
XOM,ExxonMobil
